#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
-0.000130687	0.0624305	0.0624306
-0.00678726	0.147859	0.148014
-0.0142223	0.241096	0.241515
-0.023159	0.334365	0.335166
-0.0322861	0.423785	0.425013
-0.0494225	0.527974	0.530282
-0.0771661	0.634019	0.638698
-0.108829	0.724091	0.732224
-0.149155	0.8121	0.825684
-0.203117	0.896265	0.918993
-0.27172	0.971021	1.00832
-0.340907	1.05095	1.10486
-0.42223	1.12038	1.1973
-0.510632	1.17291	1.27924
-0.601394	1.21509	1.35577
-0.707632	1.24545	1.43244
-0.80085	1.27972	1.50965
-0.901032	1.31134	1.59106
-1.00928	1.34264	1.67968
-1.11087	1.37807	1.77006
-1.21038	1.40845	1.85708
-1.30548	1.43672	1.94125
-1.40977	1.46064	2.03
-1.51636	1.49093	2.12655
-1.61842	1.51498	2.21685
-1.72129	1.52981	2.30286
-1.82744	1.54522	2.39317
-1.94552	1.56607	2.49752
-2.05344	1.59003	2.59708
-2.15726	1.61169	2.69283
-2.26204	1.64336	2.79597
-2.36454	1.66732	2.89327
-2.46147	1.68869	2.98505
-2.55439	1.71585	3.07718
-2.64698	1.74487	3.17035
-2.73204	1.76945	3.255
-2.83112	1.78177	3.34514
-2.92851	1.78606	3.43019
-3.0269	1.79047	3.5168
-3.1266	1.79507	3.60526
-3.23497	1.80173	3.70287
-3.33717	1.81025	3.79654
-3.43509	1.8214	3.8881
-3.53307	1.8329	3.98022
-3.62429	1.83364	4.06174
-3.71217	1.83363	4.14034
-3.80312	1.83069	4.2208
-3.89807	1.81256	4.29887
-4.00233	1.79767	4.38751
-4.10225	1.77941	4.47154
-4.19561	1.75604	4.54828
-4.29174	1.73215	4.6281
-4.38638	1.70667	4.7067
-4.49194	1.67224	4.79311
-4.57068	1.63474	4.85422
-4.65511	1.59451	4.92062
-4.73574	1.55369	4.98409
-4.82677	1.51158	5.05793
