#1 AntPos X	#2 AntPos Y	#3 Distance form nest	
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1.40364e-05	0.0627226	0.0627226
-0.00124436	0.151533	0.151538
0.00367162	0.253334	0.253361
0.0076176	0.341526	0.341611
0.0220609	0.432445	0.433007
0.0435613	0.534606	0.536378
0.0568503	0.629333	0.631896
0.0752092	0.725532	0.72942
0.0916239	0.821968	0.827058
0.10921	0.916586	0.923069
0.135179	1.01264	1.02162
0.175208	1.10927	1.12302
0.241886	1.19292	1.2172
0.325372	1.25687	1.2983
0.412873	1.31372	1.37708
0.500086	1.35905	1.44814
0.598231	1.38572	1.50934
0.700555	1.41821	1.5818
0.807807	1.44444	1.65498
0.90184	1.46861	1.7234
1.00169	1.48848	1.79415
1.10074	1.51491	1.87259
1.19981	1.53834	1.95091
1.30552	1.56373	2.03706
1.40424	1.59089	2.12199
1.50156	1.61317	2.20386
1.59415	1.63295	2.28207
1.68727	1.65376	2.36259
1.78477	1.68446	2.45414
1.86946	1.71591	2.53756
1.97673	1.74173	2.63459
2.08536	1.77326	2.73737
2.19263	1.80337	2.83897
2.29056	1.8217	2.92664
2.38781	1.83889	3.01383
2.48572	1.85612	3.10226
2.58536	1.87021	3.19089
2.67929	1.8768	3.27123
2.77533	1.88608	3.35556
2.86964	1.89656	3.43974
2.96225	1.90758	3.52332
3.05932	1.9269	3.61558
3.1608	1.94863	3.71319
3.27577	1.96478	3.81982
3.39501	1.97987	3.93014
3.49196	1.98432	4.01638
3.58589	1.9838	4.09806
3.68433	1.98196	4.1836
3.78294	1.9783	4.269
3.88785	1.97634	4.36134
3.97054	1.98316	4.43826
4.06189	1.99065	4.52346
4.16433	2.00075	4.62002
4.26272	2.0186	4.71651
4.362	2.02775	4.81028
4.45256	2.04145	4.89824
4.55616	2.0454	4.99423
4.66298	2.04302	5.0909
4.76523	2.03807	5.18277
4.87649	2.02439	5.27999
4.9926	2.00681	5.38083
5.09942	1.99067	5.4742
5.20054	1.98348	5.56595
5.30567	1.9844	5.66463
5.40895	1.98708	5.7624
5.50447	1.99341	5.85431
5.60077	1.99803	5.94649
5.70137	2.01182	6.04591
5.80296	2.02022	6.14456
5.90254	2.02888	6.2415
6.00162	2.03859	6.3384
6.10003	2.03513	6.43057
6.19638	2.03233	6.52116
6.29714	2.03338	6.6173
6.39918	2.03608	6.71529
6.49527	2.03571	6.80681
6.59317	2.03543	6.9002
6.68939	2.03922	6.99331
6.80518	2.0462	7.10616
6.9139	2.05587	7.21309
7.0266	2.06788	7.32456
7.14024	2.07911	7.43678
7.2483	2.07573	7.53966
7.35916	2.07526	7.64617
7.46549	2.07836	7.74939
7.5667	2.07469	7.84597
7.67419	2.06246	7.94651
7.77415	2.05021	8.03994
7.8644	2.0353	8.1235
7.9578	2.0378	8.21458
8.05698	2.04398	8.3122
8.16225	2.05683	8.41741
8.26349	2.07336	8.51963
8.36586	2.09466	8.6241
8.46064	2.1172	8.72152
8.56542	2.13448	8.82737
8.67074	2.14986	8.93328
8.77242	2.16821	9.0364
8.8763	2.17846	9.13972
8.97615	2.1853	9.23834
9.0718	2.19992	9.33473
9.1802	2.21392	9.44339
9.28825	2.22545	9.55114
9.39002	2.23503	9.65235
9.49392	2.2425	9.75517
9.58603	2.25138	9.84686
9.67892	2.25768	9.93875
9.77571	2.26327	10.0343
9.86947	2.25997	10.1249
9.96747	2.25691	10.2198
10.0722	2.24891	10.3202
10.171	2.24897	10.4167
10.2725	2.24951	10.5159
10.3738	2.24663	10.6142
10.4777	2.24201	10.7148
